date,sitting,speaker,summary,link
2013-10-31,08-04-IAD-08,客家委員會主任委員黃玉振,客家委員會業務報告(全文影像共27頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4570
2013-10-31,08-04-IAD-08,客家委員會,客家委員會主管102年度單位預算解凍案報告(全文影像共13頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4571
2013-10-31,08-04-IAD-08,客家委員會主任委員黃玉振,客家委員會及所屬103年度施政計畫重點及收支預算案報告(全文影像共20頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4572
2013-10-31,08-04-FND-10,僑務委員會委員長陳士魁,103年度僑務委員會主管預算案口頭報告(全文影像共19頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4585
2013-10-31,08-04-ECO-07,公平交易委員會主任委員吳秀明,公平交易委員會103年度施政計畫及收支預算案口頭報告(全文影像共24頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4569
2013-10-31,08-04-FIN-06,財政部,財政部關務署及所屬、國有財產署及所屬103年度單位預算暨融資財源調度簡要報告(全文影像共12頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4574
2013-10-31,08-04-EDU-11,行政院原子能委員會主任委員蔡春鴻,行政院原子能委員會103年度施政計畫與主管收支預算案口頭報告(全文影像共46頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4575
2013-10-31,08-04-EDU-11,教育部,「本土語文教學師資、教材、經費編列之現況分析，以及如何提升本土語文教學品質與成效、十二年國教課綱有關本土語言列入國中必修科目之執行狀況及師資來源」專案報告(全文影像共14頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4589
2013-10-31,08-04-JUD-13,總統府秘書長楊進添,總統府103年度工作計畫及收支預算案口頭報告(全文影像共18頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4576
2013-10-31,08-04-JUD-13,總統府秘書長楊進添,總統府102年度預算解凍案口頭報告(全文影像共5頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4577
2013-10-31,08-04-JUD-13,國家安全會議,國家安全會議103年度工作計畫及收支預算案口頭報告(全文影像共15頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4579
2013-10-31,08-04-JUD-13,國家安全會議,國家安全會議102年度預算凍結案動支暨相關專案報告(全文影像共12頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4580
2013-10-31,08-04-JUD-13,國史館館長呂芳上,國史館103年度工作計畫及收支預算案口頭報告(全文影像共13頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4588
2013-10-31,08-04-JUD-13,國史館館長呂芳上,國史館102年度預算凍結案口頭報告(全文影像共18頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4587
2013-10-31,08-04-JUD-13,國史館臺灣文獻館館長張鴻銘,國史館臺灣文獻館103年度工作計畫及收支預算案口頭報告(全文影像共15頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4586
2013-10-30,08-04-ECO-07,行政院農業委員會主任委員陳保基,行政院農業委員會主管103年度施政計畫暨收支預算案報告(全文影像共100頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4547
2013-10-30,08-04-ECO-07,行政院農業委員會主任委員陳保基,行政院農業委員會主管103年度施政重點暨收支預算案報告(全文影像共10頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4555
2013-10-30,08-04-FIN-06,財政部,財政部、國庫署及財政資訊中心103年度單位預算簡要報告(全文影像共10頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4548
2013-10-30,08-04-EDU-11,行政院國家科學委員會主任委員朱敬一,行政院國家科學委員會業務報告(全文影像共54頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4567
2013-10-30,08-04-EDU-11,行政院國家科學委員會主任委員朱敬一,行政院國家科學委員會103年度施政計畫與主管收支部分預算案報告(全文影像共105頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4566
2013-10-30,08-04-EDU-11,教育部,教育部對併案審查許委員智傑等24人、盧委員嘉辰等21人擬具「學校衛生法部分條文修正草案」、管委員碧玲等21人、陳委員亭妃等22人擬具「學校衛生法第十二條條文修正草案」、黃委員文玲等18人擬具「學校衛生法第十五條條文修正草案」、陳委員亭妃等22人擬具「學校衛生法第十五條及第二十二條條文修正草案」、趙委員天麟等22人擬具「學校衛生法第二十三條條文修正草案」、邱委員志偉等25人擬具「學校衛生法第二十三條條文修正草案」、邱委員志偉等22人擬具「學校衛生法第十二條條文修正草案」之書面報告(全文影像共15頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4564
2013-10-30,08-04-TRA-08,行政院公共工程委員會代理主任委員顏久榮,行政院公共工程委員會103年度施政重點及預算編列報告(全文影像共13頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4551
2013-10-30,08-04-JUD-13,行政院研究發展考核委員會主任委員宋餘俠,行政院研究發展考核委員會及所屬機關103年度施政計畫及收支預算案口頭報告(全文影像共19頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4552
2013-10-30,08-04-JUD-13,行政院人事行政總處人事長黃富源,行政院人事行政總處暨所屬機構103年度施政計畫及收支預算案口頭報告(全文影像共30頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4553
2013-10-30,08-04-SWE-14,行政院勞工委員會,委員所提就業服務法部分條文修正草案口頭報告(全文影像共7頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4554
2013-10-28,08-04-IAD-07,行政院秘書長陳威仁,行政院102年度預算第6目「聯合服務業務」項下「雲嘉南區聯合服務業務」凍結三分之一之解凍專案報告(全文影像共40頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4528
2013-10-28,08-04-IAD-07,臺灣省政府主席林政則,臺灣省政府103年度施政計畫及收支預算案口頭報告(全文影像共15頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4529
2013-10-28,08-04-IAD-07,臺灣省諮議會諮議長李源泉,臺灣省諮議會103年度施政計畫及收支預算案口頭報告(全文影像共24頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4530
2013-10-28,08-04-IAD-07,福建省政府主席薛琦,福建省政府103年度施政計畫及收支預算案口頭報告(全文影像共15頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4532
2013-10-28,08-04-IAD-07,行政院秘書長陳威仁,行政院103年度施政計畫及收支預算案報告(全文影像共18頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4533
2013-10-28,08-04-FND-09,國家安全局局長蔡得勝,國家安全局103年度施政計畫及收支預算案報告(全文影像共13頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4534
2013-10-28,08-04-ECO-07,行政院經濟建設委員會主任委員管中閔,行政院經濟建設委員會業務報告(全文影像(口頭報告)共23頁)(全文影像(書面報告)共33頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4535
2013-10-28,08-04-FIN-06,中央銀行總裁彭淮南,103年度中央政府總預算案行政院歲入預算有關中央銀行股息紅利繳庫部分之說明(全文影像共2頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4537
2013-10-28,08-04-FIN-06,財政部部長張盛和,財政部主管103年度施政重點及預算編列報告(全文影像共63頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4538
2013-10-28,08-04-EDU-11,文化部部長龍應台,103年度中央政府總預算案文化部及所屬單位預算報告(全文影像共59頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4539
2013-10-28,08-04-EDU-11,教育部,教育部對併案審查委員蔡其昌等22人擬具「學校型態實驗教育實施條例草案」案、委員黃志雄等18人擬具「實驗教育實施條例草案」案、委員林佳龍等29人擬具「機構實驗教育實施條例草案」案、委員林佳龍等32人擬具「公辦民營實驗教育學校實施條例草案」案、委員林佳龍等31人擬具「家長自主教育條例草案」案之書面報告(全文影像共19頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4546
2013-10-28,08-04-TRA-08,飛航安全調查委員會主任委員張有恆,飛航安全調查委員會103年度施政計畫及收支預算案口頭報告(全文影像共8頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4540
2013-10-28,08-04-JUD-13,司法院秘書長林錦芳,司法院報告關於103年度司法院主管施政計畫及收支預算案(全文影像共125頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4541
2013-10-28,08-04-SWE-13,行政院環境保護署,「俯瞰台灣的美麗與哀愁～從環境保育、國土資源資訊整合、森林資源復育及保育、統合水域資源規劃與河川治理檢視台灣的國土規劃政策，由齊柏林拍攝的『看見台灣』揭露國土風貌的真相，主管機關應有何省思與實際行動」行政院環境保護署報告(全文影像共9頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4542
2013-10-28,08-04-SWE-13,內政部,「俯瞰台灣的美麗與哀愁～從環境保育、國土資源資訊整合、森林資源復育及保育、統合水域資源規劃與河川治理檢視台灣的國土規劃政策，由齊柏林拍攝的『看見台灣』揭露國土風貌的真相，主管機關應有何省思與實際行動」口頭報告(全文影像共7頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4543
2013-10-28,08-04-SWE-13,行政院農業委員會,國土資源資訊整合、森林資源復育、保育及山坡地災害防治辦理情形專案報告(全文影像共11頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4544
2013-10-28,08-04-SWE-13,經濟部水利署,經濟部水利署針對「統合水域資源規劃與河川治理檢視台灣國土規劃政策」專案報告(全文影像共5頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4545
2013-10-24,「海峽兩岸服務貿易協議」公聽會（第九場）,行政院大陸委員會,「海峽兩岸服務貿易協議」公聽會報告(第九場)(全文影像共16頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4509
2013-10-24,「海峽兩岸服務貿易協議」公聽會（第九場）,財團法人海峽交流基金會,「海峽兩岸服務貿易協議」公聽會報告(第九場)(全文影像共7頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4510
2013-10-24,「海峽兩岸服務貿易協議」公聽會（第九場）,經濟部,「海峽兩岸服務貿易協議」公聽會 (第九場)報告(全文影像共60頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4511
2013-10-24,「海峽兩岸服務貿易協議」公聽會（第九場）,行政院勞工委員會,兩岸服務貿易協議相關說明(全文影像共5頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4512
2013-10-24,「海峽兩岸服務貿易協議」公聽會（第九場）,文化部,「海峽兩岸服務貿易協議」公聽會 (第九場)報告(全文影像共2頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4513
2013-10-24,「海峽兩岸服務貿易協議」公聽會（第九場）,行政院經濟建設委員會,「海峽兩岸服務貿易協議」公聽會報告(第9場)(全文影像共7頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4523
2013-10-24,「海峽兩岸服務貿易協議」公聽會（第九場）,衛生福利部,「海峽兩岸服務貿易協議」公聽會(第九場)說明資料(全文影像共2頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4524
2013-10-24,08-04-ECO-06,行政院大陸委員會,「兩岸服務貿易協議造成之產業衝擊與政府因應措施」專案報告(全文影像共8頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4514
2013-10-24,08-04-ECO-06,行政院農業委員會,「兩岸服務貿易協議造成之產業衝擊與政府因應措施」專案報告(全文影像共5頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4515
2013-10-24,08-04-ECO-06,行政院經濟建設委員會,兩岸服務貿易協議造成之產業衝擊與政府因應措施(全文影像共6頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4516
2013-10-24,08-04-ECO-06,經濟部,「兩岸服務貿易協議造成之產業衝擊與政府因應措施」專案報告(全文影像共14頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4517
2013-10-24,08-04-FIN-05,行政院主計總處主計長石素梅,行政院主計總處103年度施政計畫及收支預算案口頭報告(全文影像共19頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4518
2013-10-24,08-04-FIN-05,審計長林慶隆,審計部103年度施政計畫及收支預算案暨對國營事業績效獎金審核情形口頭報告(全文影像共27頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4519
2013-10-24,08-04-TRA-07,交通部民用航空局局長沈啟,交通部民用航空局103年度施政計畫及預算編列口頭報告(全文影像共11頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4520
2013-10-24,08-04-JUD-12,法務部,「名人搶子新聞事件有關離婚或分居案件中未成年子女親權決定與『子女最佳利益原則』之認定與執行」專案報告-(民法第一千零五十五條之一條文修正草案)法務部書面意見(全文影像共8頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4527
2013-10-24,08-04-JUD-12,司法院,民法第1055條之1條文修正草案司法院書面資料(全文影像共3頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4522
2013-10-23,08-04-IAD-06,內政部,內政部主管103年度收支預算案暨附屬單位預算案、財團法人預算案口頭報告(內政部、營建署及所屬、建築研究所)(全文影像共23頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4494
2013-10-23,08-04-IAD-06,內政部營建署,內政部營建署及所屬103年度收支預算案報告(含營建建設基金、中央都市更新基金、財團法人台灣建築中心、財團法人臺灣營建研究院、財團法人國土規劃及不動產資訊中心、財團法人中央營建技術顧問研究社)(全文影像共51頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4495
2013-10-23,08-04-IAD-06,內政部建築研究所,建築研究所103年度收支預算案報告(全文影像共12頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4496
2013-10-23,08-04-FND-08,國防部部長嚴明,國防部103年度施政計畫及主管預算案報告(全文影像共16頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4497
2013-10-23,08-04-ECO-06,行政院農業委員會,我國現階段治山防災政策辦理情形及資源配置情況專案報告(全文影像共5頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4498
2013-10-23,08-04-ECO-06,經濟部水利署,經濟部水利署針對「我國現階段治山防災政策辦理情形及資源配置情況」專案報告(全文影像共7頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4499
2013-10-23,08-04-ECO-06,行政院主計總處,「我國現階段治山防災政策辦理情形及資源配置情況」專案報告(全文影像共6頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4500
2013-10-23,08-04-FIN-05,財政部,財政部國有財產署經管國有非公用土地多元化運用專案報告(全文影像共11頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4501
2013-10-23,08-04-FIN-05,財政部,「國有財產法第五十一條、第五十二條之一及第五十二條之二條文修正草案」報告(全文影像共5頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4502
2013-10-23,08-04-FIN-05,交通部,「國有財產法第五十二條之二條文修正草案」增列第二項專案報告(全文影像共3頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4503
2013-10-23,08-04-SWE-11,行政院環境保護署署長沈世宏,「台灣老舊車輛現況對空氣環境污染、人體健康及交通安全之影響，另如何與國際節能車輛發展趨勢接軌」(全文影像共28頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4504
2013-10-23,08-04-SWE-11,衛生福利部,「現行台灣老舊車輛對空氣環境污染及人體健康之影響」報告(書面報告)(全文影像共5頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4505
2013-10-23,08-04-SWE-11,交通部,臺灣老舊車輛現況對交通安全之影響及如何與國際節能車輛發展趨勢接軌專案報告(全文影像共7頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4506
2013-10-23,08-04-SWE-11,經濟部,「台灣老舊車輛現況對空氣環境污染、人體健康及交通安全之影響，另如何與國際節能車輛發展趨勢接軌」專案報告(全文影像共9頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4507
2013-10-21,08-04-IAD-05,行政院海岸巡防署署長王進旺,行政院海岸巡防署業務報告(全文影像共37頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4472
2013-10-21,08-04-IAD-05,行政院海岸巡防署署長王進旺,行政院海岸巡防署103年度主管預算案口頭報告(全文影像共29頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4473
2013-10-21,08-04-FND-07,國防部,「軍事教育條例」部分條文修正草案書面資料(全文影像共12頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4474
2013-10-21,08-04-ECO-06,行政院經濟建設委員會,102年度我國GDP預估下修情況及『黃金交叉』承諾達成情況預估及檢討(全文影像共7頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4475
2013-10-21,08-04-ECO-06,經濟部,102年度我國GDP預估下修情況及「黃金交叉」承諾達成情況預估及檢討專案報告(全文影像共8頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4476
2013-10-21,08-04-ECO-06,行政院主計總處副主計長鹿篤瑾,「102年度我國GDP預估下修情況及『黃金交叉』承諾達成情況預估及檢討」專題報告(全文影像共6頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4477
2013-10-21,08-04-FIN-05,行政院主計總處主計長石素梅,行政院主計總處對於審查薛凌委員等17人擬具「預算法第九十二條條文修正草案」、盧秀燕委員等36人擬具「預算法第六十三條條文修正草案」、薛凌委員等23人擬具「預算法第三十一條及第三十二條條文修正草案」、薛凌委員等24人擬具「預算法第二十八條條文修正草案」、親民黨黨團擬具「預算法部分條文修正草案」及林佳龍委員等26人擬具「預算法第八十三條及第八十四條條文修正草案」之報告(全文影像共11頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4478
2013-10-21,08-04-EDU-10,教育部,教育部主管(教育部及所屬機關)103年度施政計畫及收支預算案報告(全文影像(一)共98頁)(全文影像(二)共65頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4479
2013-10-21,08-04-TRA-07,國家通訊傳播委員會主任委員石世豪,國家通訊傳播委員會業務概況報告(全文影像(口頭報告)共23頁)(全文影像(書面報告)共39頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4481
2013-10-21,08-04-TRA-07,國家通訊傳播委員會主任委員石世豪,國家通訊傳播委員會102年度單位預算解凍案報告(全文影像共6頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4483
2013-10-21,08-04-JUD-10,法務部,法務部「監聽事件調查小組調查結果」專題報告(全文影像共6頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4484
2013-10-21,08-04-JUD-10,檢察總長黃世銘,最高法院檢察署「立法院審議102年度中央政府總預算案所提決議、附帶決議及注意辦理事項辦理情形報告表」及102年度預算執行績效案口頭報告(全文影像共5頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4490
2013-10-21,08-04-JUD-10,內政部警政署,「監聽事件調查小組調查報告及監聽設備預算執行情形」專題報告(全文影像共6頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4491
2013-10-21,08-04-SWE-10,衛生福利部,塑化劑事件消費訴訟案之地方法院判決結果不符比例原則；不鏽鋼食品器具之含錳標準訂定與輔導業者標示；近期食品藥品安全事件，食品及藥品安全相關查核機制及如何減低食品安全危害等專案報告(書面報告)(全文影像共34頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4485
2013-10-21,08-04-SWE-10,行政院環境保護署,三、「近期傳出多起危害食品及藥品安全事件，如毒餐盒流入市面、麵包摻入人工香精、橄欖油混劣質油或食品含減肥藥物成分等等，請主管機關就食品及藥品安全相關督導查核工作及如何減低食品安全危害，重振國人信心」報告(全文影像共4頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4486
2013-10-21,08-04-SWE-10,行政院農業委員會,「近期傳出多起危害食品及藥品安全事件，如毒餐盒流入市面、麵包摻入人工香精、橄欖油混劣質油或食品含減肥藥物成分等等，請主管機關就食品及藥品安全相關督導查核工作及如何減低食品安全危害，重振國人信心」報告資料(全文影像共8頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4487
2013-10-21,08-04-SWE-10,經濟部標準檢驗局副局長莊素琴,經濟部標準檢驗局報告(書面部分-不鏽鋼餐盒相關國家標準說明)(全文影像共42頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4492
2013-10-21,08-04-SWE-10,司法院,司法院就「前年五月爆發塑化劑事件，財團法人中華民國消費者文教基金會展開國內司法史上第一件食品摻毒事件，透過消費團體訴訟機制向廠商提起的訴訟案，總共有568位消費者提告求償，金額累計達78億元，臺灣新北地方法院一審判決昱伸等18間廠商，僅需賠償120萬元，判決結果無法達到社會大眾要求加強控管食品安全的效果，請主管機關提出專案報告」議案之專案報告內容(全文影像共2頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4493
2013-10-18,院會,行政院院長江宜樺,行政院院長施政報告(全文影像(口頭報告)共21頁)(全文影像(一)共112頁)(全文影像(二)共112頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4469
2013-10-17,08-04-IAD-04,內政部部長李鴻源,內政部施政報告(全文影像(口頭報告)共13頁)(全文影像(書面報告)共78頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4457
2013-10-17,08-04-IAD-04,內政部,內政部主管102年度單位預算解凍案報告(全文影像共114頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4459
2013-10-17,08-04-FND-ECO-02,外交部政務次長柯森耀,「北太平洋公海漁業資源養護與管理公約」暨「補魚實體參與文書」審議案(全文影像共10頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4460
2013-10-17,08-04-ECO-05,行政院農業委員會,行政院農業委員會主管102年度預算凍結案專案報告(全文影像共27頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4461
2013-10-17,08-04-FIN-ECO-01,經濟部,經濟部主管中央政府易淹水地區水患治理計畫第3期特別預算業務費解凍口頭報告(全文影像共3頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4462
2013-10-17,08-04-EDU-09,文化部部長龍應台,文化部振興國內電影、電視及流行音樂產業發展及電影法修正草案中建議「隨電影票提撥百分之五電影基金及建立全國票房統計機制」書面報告(全文影像共14頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4463
2013-10-17,08-04-EDU-09,文化部部長龍應台,文化部「委員管碧玲等24人擬具文化資產保存法修正草案、委員鄭麗君等19人擬具文化資產保存法部分條文修正草案、委員吳宜臻等24人擬具文化資產保存法部分條文修正草案、委員孫大千等19人擬具文化資產保存法第二十一條條文修正草案、委員吳宜臻等24人擬具文化資產保存法第七十六條條文修正草案、委員蕭美琴等17人擬具文化資產保存法第一百零一條條文修正草案」書面報告(全文影像共5頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4464
2013-10-17,08-04-TRA-06,國家通訊傳播委員會主任委員石世豪,「行動寬頻(4G)釋照業務辦理情形與行動寬頻(4G)通訊設備涉及國安問題之相關負面表列及禁止採購規範等問題」專案報告(全文影像共7頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4465
2013-10-17,08-04-JUD-09,法務部,《監聽事件調查小組調查報告》及監聽設備預算執行情形報告(全文影像共8頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4466
